Id,SalePrice
1461,119010.15104
1462,160295.7249
1463,182539.75195
1464,202994.65786
1465,211570.31617
1466,174402.6281
1467,182987.1584
1468,164418.18941
1469,199938.05184
1470,112786.49565
1471,195221.8462
1472,94731.510641
1473,95391.055713
1474,147335.91623
1475,113313.5089
1476,362077.59781
1477,257826.52799
1478,316485.56132
1479,315481.36061
1480,444366.16197
1481,324106.90076
1482,221926.19566
1483,184263.47738
1484,154325.80622
1485,191767.71286
1486,199132.14547
1487,327740.199
1488,240996.31785
1489,197431.46548
1490,240245.8227
1491,189937.65666
1492,97588.602049
1493,181601.67648
1494,294977.35261
1495,307625.75999
1496,220881.95979
1497,186368.46903
1498,163150.92055
1499,167112.62571
1500,160467.75416
1501,178341.79532
1502,149654.31256
1503,277494.59504
1504,251033.00678
1505,234476.37651
1506,206274.74141
1507,248789.81735
1508,198368.61718
1509,165178.69552
1510,137741.27898
1511,146149.046
1512,185663.00387
1513,144088.18561
1514,142318.29553
1515,201309.23702
1516,159064.33611
1517,176605.78605
1518,125975.01967
1519,211556.82137
1520,128317.06536
1521,125143.3713
1522,183157.4984
1523,112241.36757
1524,127434.17295
1525,116290.10264
1526,106053.40591
1527,101136.27522
1528,149309.95949
1529,134644.33078
1530,192136.08934
1531,101795.60677
1532,106145.8141
1533,157205.35113
1534,129469.73451
1535,167197.74883
1536,112941.08742
1537,51941.599349
1538,144090.07722
1539,180321.83129
1540,93477.950458
1541,145454.90587
1542,137036.59937
1543,177749.53675
1544,88046.978137
1545,115623.04617
1546,131565.37095
1547,136510.87212
1548,134833.4242
1549,112925.00461
1550,123011.53869
1551,119844.23333
1552,125555.53262
1553,150653.08658
1554,120608.4348
1555,162223.22938
1556,92180.289016
1557,109904.98779
1558,101638.86897
1559,65984.298871
1560,125151.19243
1561,126260.35332
1562,131605.27954
1563,121021.29548
1564,162020.26599
1565,146401.5534
1566,234596.48649
1567,78172.413844
1568,219178.85107
1569,108144.08464
1570,148849.7721
1571,121863.02252
1572,135896.34691
